Level	Subject	Lemma	ZH	Definition	Example
P1	chinese	check your answer	检查答案	Phrase: check your answer	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -11	检查答案	Phrase: check your answer -11	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -15	检查答案	Phrase: check your answer -15	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -17	检查答案	Phrase: check your answer -17	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -18	检查答案	Phrase: check your answer -18	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -19	检查答案	Phrase: check your answer -19	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -21	检查答案	Phrase: check your answer -21	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -22	检查答案	Phrase: check your answer -22	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -31	检查答案	Phrase: check your answer -31	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer -7	检查答案	Phrase: check your answer -7	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	check your answer 0	检查答案	Phrase: check your answer 0	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	chinese	circle the keywords	圈关键词	Phrase: circle the keywords	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	chinese	circle the keywords -13	圈关键词	Phrase: circle the keywords -13	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	chinese	circle the keywords -23	圈关键词	Phrase: circle the keywords -23	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	chinese	circle the keywords -26	圈关键词	Phrase: circle the keywords -26	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	chinese	circle the keywords -30	圈关键词	Phrase: circle the keywords -30	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	chinese	circle the keywords -34	圈关键词	Phrase: circle the keywords -34	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	chinese	circle the keywords -35	圈关键词	Phrase: circle the keywords -35	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	chinese	circle the keywords -6	圈关键词	Phrase: circle the keywords -6	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	chinese	explain your reasoning	解释理由	Phrase: explain your reasoning	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	chinese	explain your reasoning -12	解释理由	Phrase: explain your reasoning -12	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	chinese	explain your reasoning -2	解释理由	Phrase: explain your reasoning -2	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	chinese	explain your reasoning -29	解释理由	Phrase: explain your reasoning -29	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	chinese	explain your reasoning -3	解释理由	Phrase: explain your reasoning -3	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	chinese	explain your reasoning -5	解释理由	Phrase: explain your reasoning -5	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	chinese	explain your reasoning 2	解释理由	Phrase: explain your reasoning 2	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	chinese	explain your reasoning 3	解释理由	Phrase: explain your reasoning 3	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	chinese	read the question	读题	Phrase: read the question	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	chinese	read the question -1	读题	Phrase: read the question -1	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	chinese	read the question -10	读题	Phrase: read the question -10	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	chinese	read the question -25	读题	Phrase: read the question -25	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	chinese	read the question -28	读题	Phrase: read the question -28	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	chinese	read the question -4	读题	Phrase: read the question -4	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	chinese	read the question -9	读题	Phrase: read the question -9	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	chinese	show your steps	写步骤	Phrase: show your steps	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
